feature,importance
total_biat,0.08261403083379294
flowBytesPerSecond,0.07724664241519857
max_flowiat,0.06957642847101343
min_biat,0.06900526036686547
min_flowiat,0.06621327577484769
min_fiat,0.06434261724211231
flowPktsPerSecond,0.05883610572777173
duration,0.058022743491933856
total_fiat,0.05374672665222463
mean_flowiat,0.05077459494789574
std_flowiat,0.04617962986878964
max_biat,0.041051829705250335
max_fiat,0.039208267350553806
mean_biat,0.03512705666900604
mean_fiat,0.032632874477079396
max_idle,0.02766850758600308
max_active,0.02745849273811588
min_idle,0.02057250835167826
mean_idle,0.01795998487423632
mean_active,0.01795000662848079
min_active,0.01791024190229909
std_active,0.013230325770406344
std_idle,0.01267184815444471
